	Regulon	Size	NES	p.value	FDR	Ledge
STAT1	STAT1	166	1.23	0.217	0.459	CDKN1A, MAFF, SIDT2, CASP7, + 119 genes
SEMA4A	SEMA4A	217	1.22	0.222	0.467	PRDM14, NGEF, EED, NUDT4, + 159 genes
STAT6	STAT6	453	1.21	0.228	0.474	CCDC146, CYP4V2, PPP1R9B, BIN2, + 395 genes
MBNL1	MBNL1	317	1.2	0.229	0.474	STX7, NLRP2, CCDC146, HVCN1, + 273 genes
UNKL	UNKL	94	1.2	0.229	0.474	EIF4EBP2, TRIM41, ECD, UBXN11, + 68 genes
ID2	ID2	370	1.2	0.231	0.476	BIN2, POLR3GL, GLRX, CAST, + 320 genes
MECP2	MECP2	84	1.2	0.232	0.478	C12orf57, ELMO2, LOC152217, SNRPD2, + 53 genes
ZNF385A	ZNF385A	116	1.19	0.234	0.479	ZNF438, CDS2, KCNE1, TM4SF19, + 91 genes
ZNF182	ZNF182	33	1.18	0.239	0.487	ZNF436, SPAG17, KIAA1310, LOC100268168, + 24 genes
ZNF177	ZNF177	44	1.17	0.24	0.489	FAM155B, LCA5L, FLJ40852, WDR19, + 24 genes
IRF8	IRF8	137	1.17	0.241	0.49	RASGEF1B, ARHGAP27, TFEB, TLR1, + 109 genes
ZNF366	ZNF366	65	1.17	0.243	0.493	WDR7, LAMP3, CYSLTR2, LY75, + 49 genes
BATF2	BATF2	151	1.16	0.245	0.495	SERPING1, CD300A, MOBKL2C, UBASH3B, + 122 genes
BCL6	BCL6	213	1.16	0.245	0.495	EED, ARHGAP26, BIN2, PLCB2, + 173 genes
FOXF2	FOXF2	38	1.16	0.245	0.495	GAS6, MXRA7, COL6A1, GLIPR1L2, + 26 genes
RFX5	RFX5	48	1.16	0.248	0.499	FZD8, CRLF3, BTN2A2, DAPP1, + 33 genes
ZNF71	ZNF71	75	1.15	0.249	0.501	C6orf165, LRRC4, RAB22A, CLUAP1, + 44 genes
ZNF720	ZNF720	55	1.15	0.25	0.502	SNHG10, LIMA1, CUL4A, CLUAP1, + 36 genes
FLI1	FLI1	281	1.15	0.252	0.504	NLRP2, CCDC146, KCNG3, MSN, + 236 genes
NFE2L2	NFE2L2	73	1.14	0.253	0.505	LIPA, SIGLEC7, SIRPB1, IRAK2, + 60 genes
TCF7L2	TCF7L2	63	1.14	0.254	0.505	PICALM, SLC36A4, EPB41L3, DLG3, + 41 genes
ZFP36L1	ZFP36L1	74	1.14	0.254	0.505	ATF6B, SH3BP5, SLC5A6, GEM, + 61 genes
PRDM2	PRDM2	131	1.13	0.257	0.507	ZNF436, POLR2F, SLC26A2, RHBDD3, + 106 genes
PRRX1	PRRX1	196	1.13	0.257	0.507	RRP1B, DDB2, POLR3GL, CYB5D2, + 153 genes
POLE3	POLE3	111	1.13	0.258	0.507	MNX1, SLC25A25, AQP3, TRAPPC4, + 73 genes
THAP9	THAP9	36	1.13	0.258	0.507	KIAA1370, ZAR1L, LARP7, SPAG17, + 17 genes
BCL11A	BCL11A	53	1.12	0.261	0.51	PFDN1, TERF2IP, MMAA, PLEKHA8, + 41 genes
HSF4	HSF4	176	1.12	0.262	0.51	UBXN11, TFB2M, C17orf108, SLC27A1, + 147 genes
ZBTB47	ZBTB47	228	1.12	0.262	0.51	GAS6, TMEM217, COL6A1, RWDD2B, + 171 genes
NR2F2	NR2F2	127	1.11	0.265	0.515	SYTL2, CUL5, ANTXR2, C2orf24, + 95 genes
SCML4	SCML4	101	1.09	0.274	0.526	CCDC146, FGD3, TRIM62, ARHGAP27, + 86 genes
RBPJ	RBPJ	79	1.09	0.275	0.526	OAZ2, PHB2, SERBP1, GTPBP8, + 55 genes
SP100	SP100	235	1.09	0.275	0.526	EED, NLRP2, PPP1R9B, BIN2, + 192 genes
APTX	APTX	46	1.09	0.276	0.526	LOC731779, ORAOV1, TDRD10, RFK, + 29 genes
ZBTB16	ZBTB16	41	1.09	0.276	0.526	MYO18A, SNRPE, ANKFY1, LY75, + 30 genes
KLF6	KLF6	59	1.08	0.281	0.534	CUL5, ITPKB, NLRP3, FPR3, + 40 genes
MBD2	MBD2	374	1.07	0.283	0.536	MAP1LC3B, TET1, BIN2, POLR3GL, + 314 genes
TRIT1	TRIT1	137	1.07	0.286	0.539	CCNC, HOXB3, KIF3C, INCA1, + 94 genes
TBX2	TBX2	53	1.06	0.29	0.545	FOXL1, PDGFRB, PLA2R1, FASN, + 35 genes
HES1	HES1	171	1.05	0.293	0.548	KLHL18, ACBD4, PLEKHA8, TMEM126B, + 124 genes
ZBTB7A	ZBTB7A	278	1.04	0.299	0.555	SLC5A6, MCM7, RPL13P5, CLIC2, + 211 genes
ZNF597	ZNF597	73	1.04	0.299	0.555	CBL, PSMB4, PNPLA8, TCEAL8, + 53 genes
CDC5L	CDC5L	99	1.04	0.3	0.556	KDM4D, C6orf130, PTPRA, C6orf165, + 63 genes
SP110	SP110	101	1.03	0.302	0.556	MTA2, EED, LAMP3, DAPP1, + 80 genes
ELF1	ELF1	167	1.03	0.304	0.559	PROS1, ADRA2C, HNRNPUL2, JAK1, + 127 genes
GATA6	GATA6	70	1.02	0.306	0.561	RWDD2B, ATP6V0E2, ROM1, SRPX2, + 57 genes
CREB3	CREB3	88	1.02	0.309	0.565	CBFA2T2, KLHL18, PHC1, RELA, + 55 genes
ZNFX1	ZNFX1	31	1.01	0.311	0.567	ZCCHC2, FLT1, IFI35, RNF213, + 22 genes
TFCP2L1	TFCP2L1	180	1.01	0.312	0.568	ELMO2, TNFAIP1, BAT5, PARP16, + 121 genes
ZNF655	ZNF655	46	1.01	0.313	0.569	ENPP4, ZC3H6, SH3GL1, PNPLA8, + 22 genes
DLX5	DLX5	54	1.01	0.314	0.57	PLA2G5, FASN, CCDC64, TENC1, + 36 genes
ZNF224	ZNF224	255	1	0.317	0.571	EIF4EBP2, C2orf47, DENR, ECD, + 170 genes
RFX3	RFX3	117	1	0.318	0.571	ANKRD6, DGKD, CHST10, ERMP1, + 89 genes
PDX1	PDX1	32	0.99	0.321	0.574	SPSB4, PVR, LRRC4B, EGFLAM, + 6 genes
LEF1	LEF1	131	0.98	0.325	0.58	LAMP3, DNASE1L3, CD40LG, B4GALNT4, + 112 genes
ZNF407	ZNF407	405	0.98	0.326	0.581	SNX1, MAPKBP1, CBL, TCHP, + 323 genes
ZFP36	ZFP36	84	0.98	0.329	0.583	PGPEP1, JUNB, PEA15, GSTK1, + 60 genes
NFIX	NFIX	124	0.97	0.332	0.586	CUL5, GSN, CCDC13, CRYL1, + 102 genes
HOPX	HOPX	77	0.97	0.333	0.586	LYSMD1, SPAG8, ANXA1, PHC2, + 51 genes
HOXC4	HOXC4	66	0.97	0.334	0.587	EED, FOXO4, CCDC82, PLIN5, + 48 genes
BATF	BATF	443	0.96	0.337	0.59	TET1, BIN2, KIF21A, ARID5A, + 357 genes
KLF2	KLF2	143	0.96	0.338	0.59	RWDD2B, ACBD4, DSP, KIAA1755, + 105 genes
MBNL2	MBNL2	175	0.96	0.338	0.59	RWDD2B, KIAA1755, FDFT1, ORAI3, + 141 genes
ZNF385D	ZNF385D	65	0.96	0.339	0.59	RWDD2B, TSPAN31, CYGB, ROM1, + 47 genes
IKZF1	IKZF1	259	0.95	0.341	0.591	MSN, CRLF3, TNFAIP8, BTN2A2, + 210 genes
MBNL3	MBNL3	70	0.95	0.342	0.592	FOXO4, B4GALNT4, ZNF25, DAZAP2, + 57 genes
NFKB1	NFKB1	172	0.95	0.344	0.593	STAT3, WDR7, LRP10, SERPINB8, + 126 genes
MAFG	MAFG	272	0.93	0.35	0.601	TSGA14, TNFAIP1, BAT5, CUL4A, + 173 genes
ZFP91	ZFP91	287	0.93	0.35	0.601	KIAA0247, DPP3, HNRNPUL2, AHNAK, + 213 genes
ZNF688	ZNF688	419	0.93	0.351	0.601	TET1, RWDD2B, ACBD4, ORAI3, + 328 genes
ZNF207	ZNF207	170	0.93	0.352	0.601	UBA5, CWF19L2, AASDHPPT, TSGA14, + 111 genes
CEBPB	CEBPB	336	0.93	0.354	0.602	PLK3, IL26, TPMT, LGALS1, + 263 genes
THAP5	THAP5	42	0.93	0.354	0.602	ZC3H6, GIN1, PIBF1, FPGT, + 17 genes
CENPB	CENPB	100	0.92	0.355	0.603	CLASP2, BCL9, STX8, LOC388242, + 73 genes
ZC3H8	ZC3H8	229	0.92	0.358	0.606	HMG20A, LRRC28, NRK, CD200, + 124 genes
DEK	DEK	27	0.92	0.359	0.606	NRP1, TNFRSF10A, DGCR6, GLS, + 17 genes
GFI1	GFI1	295	0.92	0.359	0.606	ARHGAP27, BTN2A2, PGPEP1, LCP2, + 221 genes
MAF	MAF	115	0.9	0.366	0.617	C15orf52, PGPEP1, CLIP4, PAPD4, + 82 genes
GTF2IRD2B	GTF2IRD2B	131	0.9	0.368	0.618	CCDC146, CYP4V2, TSPAN31, KIF11, + 96 genes
ZNF165	ZNF165	88	0.89	0.371	0.62	ORAOV1, LOC645332, TMED5, C14orf169, + 57 genes
FOXD4L1	FOXD4L1	200	0.89	0.372	0.62	REPS1, MYBL2, HEXIM1, AGXT2L2, + 134 genes
RUNX3	RUNX3	140	0.89	0.374	0.621	DAPP1, TP63, ADRB2, AGAP2, + 101 genes
GLIS2	GLIS2	122	0.89	0.376	0.623	FGGY, RGMB, FAM175A, HEYL, + 87 genes
ZNF280D	ZNF280D	73	0.88	0.377	0.624	FAM155B, BBS4, MESDC2, CNOT4, + 47 genes
ZNF454	ZNF454	61	0.86	0.39	0.639	WDR41, MRPS27, MT1F, OGDH, + 23 genes
FOXP2	FOXP2	67	0.86	0.392	0.64	FOXO1, AMOTL2, RASSF3, ZFHX3, + 39 genes
LYL1	LYL1	254	0.86	0.392	0.64	EED, TTC39C, CCR10, ORAI3, + 198 genes
PLXNB2	PLXNB2	26	0.85	0.393	0.64	ALOX15B, C15orf48, CHI3L1, CEBPA, + 10 genes
BNC1	BNC1	105	0.85	0.396	0.642	FDPS, MRPS34, CCDC149, FGFR1OP, + 60 genes
TGIF2LY	TGIF2LY	57	0.84	0.4	0.646	KIAA0556, LRTOMT, WBP5, SLC25A38, + 35 genes
IRF3	IRF3	272	0.83	0.406	0.653	TOPBP1, UBXN11, SERTAD1, ACBD4, + 200 genes
ZNF740	ZNF740	61	0.83	0.406	0.653	FOSL2, FAM120B, CUL5, DPPA5, + 40 genes
SP140	SP140	241	0.82	0.41	0.658	TNFAIP8, C17orf44, FMNL1, CD6, + 167 genes
FOXN4	FOXN4	67	0.82	0.412	0.658	SPAG17, RSPH4A, OSBPL9, BAI1, + 39 genes
PRDM10	PRDM10	83	0.82	0.413	0.659	CBL, DGCR6L, SIK2, NPAT, + 45 genes
HOXD4	HOXD4	60	0.82	0.415	0.661	KLHDC1, ANKRD29, HOXD3, LOC100240735, + 47 genes
HOXD9	HOXD9	98	0.81	0.417	0.663	KLHL18, CYB5D2, ROM1, PNPT1, + 79 genes
MEOX1	MEOX1	72	0.81	0.42	0.666	LOC388242, ROM1, PEA15, BGN, + 57 genes
IRF4	IRF4	63	0.8	0.422	0.667	DDX1, CASP10, TMEM79, VDR, + 45 genes
ZNF16	ZNF16	53	0.8	0.425	0.669	LSM14B, LRTOMT, TSN, FGFR1OP, + 25 genes
ZNF672	ZNF672	208	0.8	0.425	0.669	CCL22, IKBKE, SLC9A9, NCKAP1L, + 135 genes
MTF1	MTF1	203	0.79	0.432	0.678	RAB40A, DPY30, NIT2, JAK1, + 139 genes
ZNF140	ZNF140	62	0.78	0.433	0.678	SEMA4C, IFRD1, ARMCX6, KIF25, + 39 genes
PLXNC1	PLXNC1	249	0.78	0.436	0.679	STAT3, MYO18A, WDR7, LIPA, + 154 genes
TGIF2LX	TGIF2LX	136	0.78	0.436	0.679	CBL, KIAA0556, TGIF1, NIT2, + 98 genes
ZNF434	ZNF434	62	0.78	0.436	0.679	HMG20A, BBS4, CUL4A, LRRC4, + 27 genes
ZMAT2	ZMAT2	119	0.76	0.449	0.688	UBE2Z, UQCRC2, HDAC3, ASCC2, + 73 genes
C5orf41	C5orf41	225	0.75	0.451	0.688	DPY30, ZCCHC2, KDM1B, PSMB4, + 160 genes
EMX2	EMX2	130	0.75	0.451	0.688	LOC284023, CYB5D2, CRLF3, TSPAN31, + 110 genes
TBX21	TBX21	185	0.75	0.451	0.688	FMNL1, AGAP2, ARHGAP25, GPR65, + 120 genes
FBN1	FBN1	145	0.75	0.456	0.693	AHNAK, CUL5, MYO18A, BMP8A, + 97 genes
EPAS1	EPAS1	113	0.74	0.458	0.695	JAG1, IDH2, ERGIC1, TNFRSF11B, + 85 genes
PRDM16	PRDM16	52	0.73	0.464	0.702	ACSS1, TENC1, S1PR5, EHMT1, + 30 genes
INF2	INF2	154	0.71	0.475	0.713	CCR10, LGALS1, KCNMB1, ALDH3B1, + 107 genes
PLXNB3	PLXNB3	187	0.71	0.477	0.713	TMEM126B, RAD54L2, ST13, KIF5A, + 129 genes
HOXD8	HOXD8	107	0.71	0.479	0.713	CBFA2T2, PDLIM3, KLHDC1, SMARCA4, + 92 genes
ZNF707	ZNF707	43	0.7	0.486	0.721	PRKAG1, SIK2, SNX19, TTC12, + 22 genes
ETV5	ETV5	127	0.69	0.489	0.724	EGFLAM, RGMB, QSOX1, PXDN, + 58 genes
SMARCA1	SMARCA1	92	0.69	0.492	0.726	GLIPR1L2, psiTPTE22, PHC2, SCD5, + 77 genes
MYST1	MYST1	95	0.67	0.504	0.739	ABL1, ZBTB10, DCHS1, PRSS36, + 64 genes
SATB1	SATB1	34	0.67	0.504	0.739	ATM, RBL2, TGFA, AZI2, + 17 genes
CHD9	CHD9	165	0.67	0.506	0.739	DPPA5, PSMB4, KLF12, MLL5, + 98 genes
GTF2F2	GTF2F2	119	0.67	0.506	0.739	BPGM, TPT1, CDADC1, TMPPE, + 74 genes
KAT5	KAT5	98	0.67	0.506	0.739	HNRNPUL2, STX5, RELA, POLR2G, + 41 genes
U2AF1L4	U2AF1L4	73	0.66	0.509	0.74	ZNF18, C17orf49, MYST3, PROM1, + 52 genes
RUNX2	RUNX2	70	0.66	0.511	0.742	GPR65, RIPK3, HCP5, ELF4, + 34 genes
ZNF276	ZNF276	321	0.66	0.512	0.742	AGXT2L2, MLLT6, STAT4, LOC388692, + 192 genes
ETS2	ETS2	99	0.65	0.515	0.743	CAST, ETV6, N4BP2L1, PION, + 47 genes
IRF7	IRF7	59	0.65	0.515	0.743	CNP, PARP12, GPLD1, DCPS, + 39 genes
ZNF691	ZNF691	53	0.65	0.516	0.743	UBXN11, ADAM9, ADPRHL2, NPTN, + 28 genes
ZNF831	ZNF831	137	0.65	0.516	0.743	LRRC8C, PAPD4, HIVEP2, GATA3, + 92 genes
GTF3A	GTF3A	125	0.65	0.517	0.744	TPT1, RPL13P5, C9orf95, C1orf50, + 98 genes
CUL3	CUL3	125	0.65	0.518	0.744	CUL4A, TSN, HSPA4L, IFRD2, + 69 genes
ZNF10	ZNF10	92	0.64	0.519	0.744	IQUB, MNS1, RTN4R, MTHFD1L, + 45 genes
ZCCHC6	ZCCHC6	63	0.64	0.524	0.749	TM4SF19, TRERF1, HIVEP2, NR3C1, + 41 genes
CREBZF	CREBZF	27	0.63	0.526	0.751	AASDHPPT, FPGT, MRE11A, BIRC2, + 10 genes
OSR2	OSR2	117	0.63	0.529	0.753	FOXO4, FBXO45, ZMIZ1, PRRT1, + 97 genes
NKX3-1	NKX3-1	84	0.63	0.531	0.755	FOXO4, RWDD2B, SCD5, RHBDL2, + 74 genes
ZBTB24	ZBTB24	71	0.62	0.535	0.757	ANKRD6, MCC, C9orf93, CCDC88A, + 54 genes
TRPS1	TRPS1	44	0.62	0.537	0.758	NR3C1, FAM129A, JAK2, CDK14, + 24 genes
TAL1	TAL1	66	0.61	0.545	0.763	TENC1, RASIP1, TSPAN7, AK3L1, + 47 genes
ZNF287	ZNF287	42	0.61	0.545	0.763	ZNF624, FLCN, CDC23, SMG6, + 27 genes
THAP8	THAP8	66	0.6	0.546	0.763	AGPS, ATP13A3, IRAK1, HEXIM2, + 19 genes
TSC22D4	TSC22D4	124	0.6	0.546	0.763	MAP3K11, GSTK1, CLEC2B, TYMP, + 83 genes
JUND	JUND	266	0.6	0.547	0.763	RAD54L2, KDM6A, KIF5A, FASN, + 195 genes
RAPGEF3	RAPGEF3	307	0.6	0.551	0.764	MASTL, SLC36A4, PGM2, FDFT1, + 203 genes
TEF	TEF	28	0.6	0.551	0.764	PPME1, KIAA1797, TBC1D20, LRP5, + 14 genes
IKZF2	IKZF2	48	0.59	0.552	0.764	ATM, ZNF41, HIVEP2, DBNDD1, + 30 genes
ZNF157	ZNF157	33	0.59	0.556	0.768	ABCC4, ALX4, KPNA6, SLC2A14, + 19 genes
CAMTA1	CAMTA1	118	0.59	0.558	0.769	DHRS7B, METTL13, ERLIN1, ZKSCAN4, + 85 genes
ZNF569	ZNF569	171	0.59	0.558	0.769	FDPS, CBL, AASDHPPT, CEP120, + 80 genes
HBP1	HBP1	60	0.58	0.561	0.77	PNPLA8, ELAVL2, CABYR, CUL1, + 43 genes
HOXC8	HOXC8	44	0.58	0.561	0.77	MCM2, HOXC5, ZNF687, SLC25A13, + 28 genes
CREB3L2	CREB3L2	98	0.58	0.562	0.77	MYO18A, KLHDC10, ATP10D, CYFIP1, + 54 genes
ZC3H14	ZC3H14	144	0.58	0.563	0.77	IQUB, LCA5L, DNAL1, WDR87, + 86 genes
DMAP1	DMAP1	123	0.57	0.566	0.771	HMGXB4, CCDC61, RAD54L2, FBXO24, + 74 genes
POU4F1	POU4F1	93	0.57	0.568	0.773	UGGT2, ERLIN1, SEC31B, TTLL3, + 54 genes
ETS1	ETS1	115	0.57	0.569	0.773	TNFRSF10A, TGFA, CD5, LEF1, + 86 genes
RFXANK	RFXANK	146	0.57	0.572	0.773	TMEM126B, GPR75, RAD54L2, ENTPD7, + 87 genes
ZNF764	ZNF764	44	0.56	0.573	0.773	MEI1, GYPE, C19orf36, HCG27, + 21 genes
ELK1	ELK1	29	0.56	0.574	0.773	RBBP4, SSR1, ZFAND3, CXXC5, + 10 genes
SOX18	SOX18	81	0.55	0.583	0.778	LARP1B, IFI35, TDO2, GJD3, + 41 genes
MIXL1	MIXL1	147	0.55	0.584	0.778	ITGB3, MRPS25, HYOU1, PRR3, + 92 genes
ZNF683	ZNF683	74	0.55	0.585	0.778	C11orf66, ACSS1, MEI1, ZFYVE28, + 45 genes
DPF2	DPF2	115	0.54	0.586	0.778	UBE2Z, HNRNPUL2, NNAT, EXOC2, + 50 genes
ZBTB4	ZBTB4	55	0.54	0.586	0.778	CHPT1, PGPEP1, C18orf1, NUP37, + 25 genes
RGS9	RGS9	98	0.54	0.591	0.783	GSTK1, TNFSF12, LOC728855, VEGFB, + 60 genes
AFF4	AFF4	206	0.53	0.593	0.784	SLC26A2, PSMB4, PIGN, MLL5, + 129 genes
SMARCC2	SMARCC2	74	0.53	0.593	0.784	FDFT1, TTLL12, FAM10A4, CDC42EP4, + 41 genes
RBM27	RBM27	181	0.53	0.599	0.789	SKIV2L2, SLC26A2, C9orf30, MSH3, + 116 genes
SMAD5	SMAD5	148	0.52	0.602	0.79	SLC26A2, MT1F, FAM53C, KCTD7, + 103 genes
ZBTB38	ZBTB38	95	0.52	0.604	0.79	FBXL3, DAZAP1, PTMS, KLHDC10, + 46 genes
ZIM2	ZIM2	63	0.51	0.607	0.791	PGAP1, PHF13, AS3MT, ZNF597, + 44 genes
KLF1	KLF1	60	0.51	0.609	0.791	PTAR1, SLC48A1, DBNDD2, C6orf167, + 33 genes
ZNF80	ZNF80	80	0.51	0.609	0.791	FAM111A, C16orf54, HCG26, TRAF1, + 50 genes
TCF21	TCF21	118	0.5	0.616	0.796	PLA2G5, PKNOX2, GJC2, TENC1, + 92 genes
ATF6	ATF6	223	0.5	0.619	0.798	MYO18A, PIGN, NUDT1, ISYNA1, + 122 genes
ZBP1	ZBP1	135	0.5	0.62	0.798	ARSA, NLRP1, PTK2B, ACSS1, + 79 genes
TRAFD1	TRAFD1	118	0.49	0.622	0.799	ZNF638, MR1, CD300C, SYT11, + 51 genes
RNF166	RNF166	76	0.49	0.623	0.799	ZFP112, TMPRSS3, PLEKHF1, TREX1, + 51 genes
ZMAT3	ZMAT3	80	0.49	0.624	0.799	SNRPE, NUDT1, AKAP13, SNRPC, + 39 genes
FOSB	FOSB	27	0.48	0.628	0.802	LOC388242, HOXD3, ENOX1, AIG1, + 14 genes
MSX1	MSX1	102	0.48	0.632	0.804	CCDC53, IER3, S1PR5, GSC, + 59 genes
ZBTB7B	ZBTB7B	100	0.48	0.632	0.804	NCKAP1L, FAM129A, GATA3, HCP5, + 49 genes
LHX9	LHX9	74	0.48	0.633	0.804	RETSAT, MICAL2, SRL, ADCY5, + 58 genes
RBM26	RBM26	41	0.48	0.634	0.804	USPL1, COG6, ARHGEF7, IBTK, + 19 genes
ETV2	ETV2	53	0.47	0.636	0.804	MEGF9, PPCDC, CDV3, ACAP2, + 28 genes
ZNF335	ZNF335	86	0.47	0.64	0.809	SDHC, ZNF622, APH1A, HMGXB3, + 47 genes
THAP3	THAP3	110	0.47	0.641	0.809	AGTRAP, CDV3, ZNF33B, B3GNT2, + 55 genes
ZNF524	ZNF524	141	0.45	0.65	0.817	KDM6A, NAA25, MYST3, PROM1, + 71 genes
CSDC2	CSDC2	119	0.45	0.651	0.818	NBL1, BGN, TIMP3, GUSB, + 88 genes
ID3	ID3	72	0.44	0.659	0.822	POLR2G, RBM15, SIPA1L2, FLJ22536, + 41 genes
NR2F1	NR2F1	59	0.44	0.659	0.822	MICAL2, LHFP, ENOX1, TMEM204, + 42 genes
E2F6	E2F6	81	0.44	0.661	0.822	DHX35, ARMCX6, PRPSAP1, TAF9B, + 52 genes
WT1	WT1	28	0.43	0.665	0.825	C2orf24, FARS2, LSM6, WIT1, + 23 genes
TCF12	TCF12	137	0.43	0.666	0.825	ARFIP2, PSMC1, SLC12A6, TMEM121, + 83 genes
GATA2	GATA2	74	0.43	0.667	0.825	TPPP3, TENC1, AK3L1, ZBTB47, + 54 genes
SP2	SP2	123	0.43	0.667	0.825	MYO18A, PIGN, GEMIN7, SNHG7, + 65 genes
ZRSR2	ZRSR2	222	0.43	0.669	0.827	TTLL12, ST13, FAM10A4, CLEC2B, + 132 genes
PDS5B	PDS5B	126	0.42	0.675	0.832	USPL1, JRK, TEAD1, PCDH19, + 79 genes
RORA	RORA	67	0.42	0.675	0.832	NHLRC3, TLR7, GPX2, TBRG4, + 41 genes
ZFYVE26	ZFYVE26	77	0.41	0.679	0.834	ANKFY1, DMXL2, RPL6, FAM161B, + 41 genes
ZNF577	ZNF577	138	0.41	0.68	0.834	IRAK1, RNF185, METTL13, PPCDC, + 60 genes
KIAA1549	KIAA1549	230	0.4	0.686	0.84	TSGA14, ARFIP2, RETSAT, LRRC42, + 133 genes
ZBTB3	ZBTB3	32	0.39	0.697	0.849	EXOC2, MAFG, GANAB, NOP16, + 15 genes
RBM22	RBM22	35	0.38	0.702	0.851	BRD1, RUFY1, PAR-SN, MAPK8IP2, + 13 genes
ZUFSP	ZUFSP	146	0.37	0.71	0.858	IL12A, NEK5, TSN, TUFT1, + 54 genes
ZMAT1	ZMAT1	29	0.36	0.717	0.863	BTNL9, HECA, SPAM1, ABCA5, + 10 genes
ZNF766	ZNF766	105	0.35	0.725	0.869	DMRT1, C20orf26, CHEK1, CCDC21, + 35 genes
ZNF689	ZNF689	349	0.35	0.727	0.87	EEFSEC, PRDX6, DMXL2, CCDC21, + 204 genes
NFATC2	NFATC2	205	0.35	0.729	0.87	AKAP13, STAT4, RPS7, AMOTL1, + 109 genes
COPS4	COPS4	194	0.34	0.731	0.872	KCTD7, TMEM101, CDC23, FAM161B, + 95 genes
ZNF789	ZNF789	274	0.34	0.736	0.877	RPL13P5, PGM2, ZNF767, ZNF622, + 156 genes
CENPT	CENPT	281	0.33	0.739	0.879	UBXN11, PHF1, CEMP1, ERLIN1, + 139 genes
PCSK6	PCSK6	59	0.33	0.741	0.881	OSTalpha, KIF18A, FSTL3, ZBTB47, + 40 genes
TCF7	TCF7	46	0.32	0.748	0.885	DNASE1L3, LEF1, SLC22A3, NOG, + 22 genes
CUL2	CUL2	132	0.32	0.752	0.886	IL12A, LUZP4, CCDC21, THOC7, + 58 genes
ZNF213	ZNF213	94	0.32	0.752	0.886	LOC388692, NLRP1, MLKL, LOC154761, + 41 genes
STAT2	STAT2	29	0.31	0.753	0.886	STAT1, CABP7, SAMD9, OAS1, + 16 genes
BCL11B	BCL11B	37	0.31	0.756	0.887	CCR4, SBK1, C6orf192, RUNX3, + 20 genes
PRDM7	PRDM7	63	0.31	0.756	0.887	PSMC1, LOXL2, ADAM23, KDM3A, + 32 genes
SUZ12	SUZ12	66	0.3	0.766	0.896	C9orf30, TRABD, PEX12, DBF4B, + 30 genes
CHD2	CHD2	35	0.3	0.767	0.896	MLL, SPG11, POLR2H, NDUFB11, + 10 genes
ZNF81	ZNF81	69	0.3	0.767	0.896	ANAPC11, JAGN1, NDUFA13, AP2S1, + 34 genes
PKHD1L1	PKHD1L1	67	0.29	0.768	0.896	MEI1, UBE2J1, AMPD1, IRAK4, + 29 genes
ZKSCAN2	ZKSCAN2	83	0.29	0.768	0.896	TCEAL8, C6orf115, ZNF597, PSMB1, + 34 genes
TRIM23	TRIM23	75	0.29	0.77	0.898	STYX, FAM169A, ZMYM5, KIF3A, + 35 genes
PRDM15	PRDM15	58	0.29	0.772	0.899	APEH, DUOXA1, LRRC36, SCN11A, + 24 genes
KLF10	KLF10	132	0.29	0.774	0.899	FAM161B, TADA2A, CCDC111, FAM115A, + 67 genes
ZC3H13	ZC3H13	90	0.29	0.775	0.899	MLL, LOC729603, PTCD2, RNF6, + 41 genes
ZNF425	ZNF425	83	0.29	0.775	0.899	BMP8A, APH1B, GLIPR1L2, MICAL2, + 42 genes
ZBTB11	ZBTB11	87	0.28	0.776	0.899	KLF12, SLC10A3, PKN1, RPS2P32, + 48 genes
SCRT1	SCRT1	28	0.28	0.777	0.899	ELAVL2, BMF, BFSP1, SPTBN2, + 7 genes
ZBTB22	ZBTB22	102	0.28	0.778	0.899	POLR2G, KCTD11, SEC14L2, DBP, + 55 genes
IFI16	IFI16	34	0.28	0.781	0.9	AACS, XAF1, OAS1, SLC27A2, + 17 genes
MEF2C	MEF2C	96	0.27	0.786	0.904	PTPRN2, TCF4, GPR183, EBF1, + 43 genes
ZFP14	ZFP14	32	0.27	0.786	0.904	LRRIQ1, ZNF597, TEX9, SERTAD4, + 12 genes
MGMT	MGMT	41	0.27	0.788	0.904	PRKAB2, TEKT5, AGFG1, RBL1, + 24 genes
ZNF446	ZNF446	70	0.26	0.793	0.905	FAM123B, NUP160, C12orf65, C6orf70, + 28 genes
OSR1	OSR1	70	0.26	0.794	0.905	FLJ13197, FSTL3, SSC5D, AGT, + 44 genes
ZNF721	ZNF721	41	0.26	0.794	0.905	RG9MTD2, ZCCHC4, ZNF434, KIAA1107, + 20 genes
AKAP8L	AKAP8L	146	0.26	0.796	0.905	RNF20, PRRT1, HEXIM1, HPS3, + 72 genes
LASS6	LASS6	99	0.25	0.8	0.908	CCNYL1, ADAM23, UBN1, OCA2, + 49 genes
ZNF193	ZNF193	131	0.25	0.801	0.908	TDRD10, MTMR12, DDX19A, TRIM13, + 64 genes
TFAP2E	TFAP2E	169	0.25	0.804	0.91	EIF3D, GLDC, PRSS36, MEI1, + 99 genes
SP3	SP3	160	0.25	0.805	0.91	RASAL2, PGAP1, ZNF597, DUS1L, + 81 genes
GATAD2A	GATAD2A	54	0.24	0.809	0.912	PRKCG, FAM53C, CBX2, ARMCX1, + 28 genes
