Regulon	Size	NES	p.value	FDR	Synergy	Ledge
51230	47	0.77	0.439	0.832	NA	51780, 55568, 253782, 7529, + 12 genes
84905	59	0.77	0.44	0.832	NA	10432, 80004, 8045, 79874, + 8 genes
84878	34	0.77	0.442	0.832	NA	23400, 54795, 10155, 1453, + 30 genes
54877	43	0.76	0.445	0.832	NA	8892, 103, 4940, 5610, + 3 genes
57109	83	0.76	0.446	0.832	NA	9416, 79109, 8721, 23203, + 13 genes
7707	106	0.76	0.446	0.832	NA	23272, 1739, 54165, 79718, + 36 genes
6908	76	0.76	0.447	0.832	NA	8348, 11232, 8365, 10024, + 13 genes
10127	65	0.76	0.45	0.832	NA	2013, 9416, 9420, 51573, + 4 genes
7551	80	0.75	0.451	0.832	NA	968, 64092, 84034, 51393, + 11 genes
168544	181	0.75	0.452	0.832	NA	23012, 5269, 54961, 4832, + 50 genes
1876	212	0.75	0.453	0.832	NA	4591, 6426, 6421, 1058, + 85 genes
54815	159	0.75	0.454	0.832	NA	1994, 7916, 25804, 8440, + 30 genes
7570	54	0.75	0.456	0.832	NA	22929, 3706, 10599, 1893, + 10 genes
2553	143	0.74	0.458	0.833	NA	6426, 9493, 7153, 10236, + 73 genes
7005	92	0.74	0.458	0.833	NA	11078, 3321, 5274, 8440, + 21 genes
3516	27	0.74	0.461	0.835	NA	114932, 5879, 5978, 55161, + 5 genes
3054	259	0.73	0.467	0.835	NA	902, 145389, 84726, 10432, + 49 genes
3609	245	0.73	0.467	0.835	NA	10432, 3833, 23225, 1994, + 58 genes
136051	35	0.73	0.468	0.835	NA	3770, 7551, 10933
25888	59	0.73	0.468	0.835	NA	26586, 57406, 79866, 7272, + 11 genes
7750	41	0.73	0.468	0.835	NA	7293, 57472, 27332, 5973, + 4 genes
63946	129	0.71	0.475	0.838	NA	9486, 2974, 820, 347853, + 12 genes
1820	128	0.71	0.478	0.838	NA	3315, 10950, 4352, 51187, + 21 genes
3146	248	0.71	0.478	0.838	NA	26586, 6426, 3181, 3281, + 97 genes
5089	59	0.71	0.478	0.838	NA	7916, 10478, 51131, 3720, + 12 genes
643836	94	0.71	0.478	0.838	NA	51780, 57472, 6722, 9879, + 24 genes
79149	66	0.71	0.478	0.838	NA	5347, 50804, 22974, 55635, + 10 genes
351	105	0.7	0.481	0.838	NA	11254, 1001, 5493, 8440, + 26 genes
79364	39	0.7	0.482	0.838	NA	9976, 8651, 80254, 6259, + 4 genes
84124	32	0.7	0.484	0.838	NA	373156, 56257, 9512, 10085, 81792
7050	94	0.7	0.485	0.838	NA	5800, 23585, 7187, 26184, + 62 genes
84083	28	0.7	0.485	0.838	NA	580, 2218, 10592, 4999, + 7 genes
85437	210	0.7	0.485	0.838	NA	8683, 92579, 28966, 29071, + 50 genes
6049	61	0.7	0.487	0.838	NA	283537, 143, 10150, 10015, + 15 genes
283489	41	0.69	0.489	0.838	NA	55082, 9724, 9375, 81542, + 35 genes
7026	75	0.69	0.491	0.838	NA	5047, 9521, 66008, 7180, + 14 genes
4799	52	0.69	0.492	0.838	NA	79956, 10497, 7415, 9414, + 11 genes
865	245	0.68	0.496	0.838	NA	3249, 3281, 79866, 55165, + 56 genes
116113	87	0.68	0.497	0.838	NA	7916, 8440, 5733, 9497, + 4 genes
1628	77	0.68	0.497	0.838	NA	2069, 56999, 56938, 79629, + 5 genes
7690	70	0.68	0.499	0.838	NA	54498, 64083, 29102, 196441, + 21 genes
22926	66	0.67	0.5	0.838	NA	55157, 103, 4905, 55827, + 6 genes
473	124	0.67	0.503	0.838	NA	5329, 8767, 10440, 28998, + 27 genes
90850	118	0.67	0.504	0.838	NA	10755, 55114, 23203, 23214, + 19 genes
4798	85	0.67	0.505	0.838	NA	145389, 333, 8892, 1026, + 8 genes
7020	77	0.67	0.506	0.838	NA	3587, 23034, 5267, 284021, + 40 genes
197320	52	0.66	0.507	0.838	NA	145389, 23294, 55625, 23300, + 7 genes
158586	52	0.66	0.508	0.838	NA	7259, 80223, 376412, 253782, + 9 genes
23394	141	0.66	0.509	0.838	NA	6303, 57472, 57403, 580, + 35 genes
23211	69	0.66	0.51	0.838	NA	8019, 84034, 50856, 23361, + 5 genes
57473	118	0.66	0.51	0.838	NA	747, 11093, 54487, 25799, + 30 genes
2023	200	0.66	0.511	0.838	NA	2762, 6103, 9123, 7086, + 66 genes
5036	354	0.66	0.511	0.838	NA	51155, 8683, 3181, 9416, + 142 genes
11176	134	0.65	0.513	0.838	NA	84726, 51780, 22864, 6047, + 15 genes
51114	202	0.65	0.515	0.838	NA	55526, 64499, 25940, 29071, + 79 genes
55311	63	0.65	0.515	0.838	NA	55183, 55589, 5050, 54470, + 9 genes
10346	110	0.65	0.518	0.838	NA	64167, 840, 11118, 4615, + 11 genes
11177	178	0.64	0.519	0.838	NA	55526, 6426, 4615, 55233, + 49 genes
51545	110	0.64	0.519	0.838	NA	5859, 55651, 51070, 3615, + 58 genes
8545	85	0.64	0.519	0.838	NA	23272, 10550, 27332, 10015, + 14 genes
10153	279	0.64	0.52	0.838	NA	10097, 64499, 25940, 10051, + 97 genes
79797	54	0.64	0.521	0.838	NA	4676, 8045, 977, 10445, + 9 genes
55892	67	0.64	0.522	0.838	NA	1739, 54165, 79718, 22916, + 20 genes
7862	164	0.64	0.523	0.839	NA	145389, 23225, 10093, 5894, + 33 genes
360023	110	0.64	0.525	0.839	NA	55157, 56660, 54498, 7293, + 15 genes
64763	65	0.64	0.525	0.839	NA	10298, 23211, 10848, 2997, + 11 genes
10745	97	0.63	0.528	0.839	NA	81839, 10051, 2886, 7514, + 21 genes
4831	208	0.63	0.528	0.839	NA	2319, 6603, 51155, 64132, + 86 genes
55854	414	0.63	0.528	0.839	NA	6426, 55233, 10097, 10112, + 175 genes
10771	53	0.63	0.529	0.839	NA	26273, 90480, 3799, 10730, + 12 genes
22955	129	0.63	0.529	0.839	NA	6643, 25974, 1742, 5557, + 52 genes
285267	113	0.63	0.529	0.839	NA	1605, 51460, 23272, 51780, + 22 genes
56995	45	0.62	0.533	0.842	NA	54516, 26054, 9113, 10767, + 4 genes
7718	75	0.62	0.533	0.842	NA	7026, 10987, 9521, 6921
221527	82	0.62	0.534	0.842	NA	50628, 23211, 7916, 11232, + 6 genes
91661	44	0.62	0.535	0.842	NA	1647, 54165, 4952, 57187, + 28 genes
57567	108	0.62	0.538	0.844	NA	823, 22980, 113, 5493, + 17 genes
147658	25	0.61	0.54	0.845	NA	55231, 2683, 349152, 3451, + 7 genes
5987	77	0.61	0.54	0.845	NA	7917, 1460, 51567, 55915, + 28 genes
5914	187	0.61	0.544	0.849	NA	5580, 10581, 92579, 55432, + 24 genes
347853	124	0.6	0.546	0.85	NA	2056, 4588, 9515, 7783, + 16 genes
51295	126	0.6	0.546	0.85	NA	5859, 10908, 79671, 25796, + 31 genes
6879	69	0.6	0.547	0.85	NA	9752, 3313, 56123, 3354, + 14 genes
23144	86	0.6	0.55	0.85	NA	10921, 79042, 9070, 667, + 13 genes
6257	109	0.59	0.552	0.85	NA	7407, 387032, 26330, 9277, + 51 genes
688	89	0.59	0.552	0.85	NA	11254, 7851, 8796, 3898, + 16 genes
115950	160	0.59	0.553	0.85	NA	10755, 57223, 51329, 10908, + 32 genes
79191	31	0.59	0.554	0.85	NA	11145, 2359, 4644, 571, + 4 genes
344022	68	0.58	0.559	0.853	NA	2940, 2572, 9856, 7350, + 11 genes
55954	98	0.58	0.561	0.853	NA	55183, 389, 645, 29796, + 19 genes
124411	86	0.58	0.562	0.853	NA	23272, 56926, 51573, 10015, + 27 genes
6884	133	0.58	0.562	0.853	NA	81839, 10097, 10236, 55027, + 39 genes
4323	174	0.58	0.563	0.853	NA	64236, 23659, 7168, 10226, + 28 genes
221302	128	0.58	0.564	0.853	NA	7259, 10097, 23118, 79866, + 54 genes
4782	85	0.58	0.565	0.853	NA	84726, 2872, 1716, 23201, + 8 genes
57232	54	0.57	0.567	0.853	NA	1263, 968, 54470, 9512, + 12 genes
7019	153	0.57	0.567	0.853	NA	3416, 8030, 54165, 3185, + 50 genes
144348	120	0.57	0.568	0.853	NA	7374, 27332, 10198, 55188, + 37 genes
1871	365	0.57	0.568	0.853	NA	902, 26586, 3833, 23294, + 72 genes
79759	89	0.57	0.572	0.855	NA	64236, 9961, 30851, 79874, + 3 genes
3182	119	0.56	0.577	0.856	NA	6421, 7086, 55651, 9232, + 37 genes
8880	88	0.56	0.577	0.856	NA	9202, 6426, 10236, 6421, + 13 genes
2130	134	0.56	0.578	0.856	NA	7625, 80764, 8216, 1454, + 33 genes
4904	404	0.56	0.578	0.856	NA	22909, 1994, 23428, 865, + 104 genes
8233	52	0.55	0.584	0.86	NA	55183, 51329, 8721, 11277, + 5 genes
29066	54	0.55	0.585	0.86	NA	9665, 90480, 23042, 9774, + 11 genes
129025	29	0.54	0.586	0.86	NA	1058, 55839, 54478, 23450, + 3 genes
51450	177	0.54	0.587	0.86	NA	2906, 53826, 9782, 1291, + 19 genes
7541	29	0.54	0.589	0.86	NA	7050, 27098, 11201, 23136, + 3 genes
55922	290	0.53	0.593	0.864	NA	6426, 1994, 865, 9928, + 107 genes
7706	62	0.53	0.597	0.866	NA	9827, 23140, 30837, 197320, + 13 genes
55786	35	0.53	0.598	0.866	NA	9051, 8514, 81562, 55769, + 7 genes
339559	49	0.52	0.601	0.866	NA	26292, 114883, 60491, 4801, + 37 genes
3298	88	0.52	0.602	0.866	NA	10924, 55975, 23595, 7957, + 13 genes
55897	44	0.52	0.602	0.866	NA	1999, 4763, 8000, 3855, + 8 genes
7703	76	0.52	0.602	0.866	NA	92579, 3927, 8396, 64581, + 7 genes
84524	110	0.51	0.607	0.866	NA	56992, 7374, 11232, 7514, + 31 genes
79670	45	0.51	0.609	0.866	NA	9685, 23196, 23637, 23064, + 5 genes
23440	31	0.51	0.613	0.866	NA	4693, 376412, 29927, 60439, + 6 genes
6880	236	0.51	0.613	0.866	NA	78991, 5720, 10551, 4258, + 79 genes
57801	39	0.5	0.616	0.866	NA	5590, 389856, 54998, 54958, + 7 genes
22869	80	0.5	0.617	0.866	NA	22954, 51780, 27332, 4793, + 19 genes
7528	209	0.5	0.619	0.866	NA	6426, 55233, 10097, 3416, + 56 genes
5971	200	0.5	0.62	0.866	NA	11344, 64236, 1535, 10095, + 34 genes
29063	102	0.49	0.622	0.866	NA	64376, 5127, 3899, 10498, + 17 genes
3663	83	0.49	0.625	0.869	NA	2885, 51187, 64761, 1491, + 11 genes
116115	40	0.48	0.63	0.872	NA	23428, 57406, 23636, 9364, + 5 genes
23013	78	0.48	0.631	0.872	NA	84726, 80335, 84196, 10277, + 8 genes
7023	147	0.48	0.631	0.872	NA	1994, 25804, 862, 7157, + 33 genes
162239	73	0.48	0.632	0.872	NA	55625, 865, 3281, 23300, + 7 genes
10773	101	0.47	0.637	0.875	NA	23424, 22954, 51552, 23637, + 20 genes
80818	49	0.47	0.637	0.875	NA	8030, 9341, 8289, 26994, + 2 genes
139324	58	0.47	0.638	0.875	NA	79739, 9973, 781, 2648, + 10 genes
220992	95	0.47	0.641	0.879	NA	840, 3185, 9379, 5816, + 34 genes
2968	191	0.46	0.646	0.881	NA	4201, 10898, 51053, 5869, + 47 genes
58487	73	0.46	0.646	0.881	NA	9295, 55608, 57018, 8629, + 33 genes
196441	86	0.46	0.647	0.881	NA	5934, 51550, 9879, 11052, + 25 genes
2625	512	0.46	0.649	0.881	NA	399665, 7422, 92579, 23225, + 120 genes
57684	51	0.46	0.649	0.881	NA	8019, 22954, 23637, 26130, + 4 genes
284459	121	0.45	0.651	0.881	NA	968, 84034, 3586, 2359, + 19 genes
8089	185	0.45	0.651	0.881	NA	7153, 10236, 7374, 23204, + 50 genes
9205	46	0.45	0.651	0.881	NA	51131, 55082, 3146, 1998, + 14 genes
58525	90	0.45	0.652	0.881	NA	1762, 4152, 84444, 147, + 9 genes
2909	99	0.45	0.653	0.881	NA	84726, 10497, 23303, 55568, + 25 genes
5916	121	0.44	0.657	0.881	NA	1244, 3065, 5144, 80004, + 19 genes
7581	31	0.44	0.657	0.881	NA	64376, 7695, 2512, 5476, + 3 genes
51341	154	0.44	0.658	0.881	NA	10581, 2872, 10614, 54961, + 15 genes
3297	243	0.44	0.662	0.881	NA	23012, 5178, 5119, 7086, + 47 genes
2301	46	0.44	0.663	0.881	NA	1152, 29944, 6954, 57117, + 16 genes
27107	133	0.43	0.668	0.883	NA	2286, 347344, 8867, 402, + 13 genes
130557	101	0.43	0.669	0.884	NA	10922, 8721, 54808, 80124, + 14 genes
54585	175	0.42	0.671	0.885	NA	23171, 51460, 11180, 23272, + 32 genes
79618	53	0.42	0.672	0.885	NA	29883, 23039, 665, 5520, + 4 genes
7157	184	0.42	0.675	0.885	NA	3833, 5347, 9, 83461, + 39 genes
57496	234	0.42	0.676	0.885	NA	1844, 55198, 51780, 56660, + 36 genes
79718	44	0.42	0.676	0.885	NA	1739, 54165, 9698, 829, + 8 genes
57594	85	0.41	0.679	0.885	NA	4331, 8846, 5283, 3306, + 12 genes
84844	223	0.41	0.68	0.885	NA	375449, 1058, 11200, 51512, + 44 genes
54819	145	0.4	0.686	0.886	NA	9337, 78991, 10551, 22808, + 11 genes
127428	37	0.4	0.687	0.886	NA	11102, 7268, 23358, 79871, + 16 genes
25898	80	0.4	0.687	0.886	NA	55727, 1267, 80067, 54532, + 3 genes
7699	71	0.4	0.688	0.887	NA	7556, 11252, 138151, 7551, + 4 genes
25909	220	0.39	0.696	0.89	NA	55157, 55526, 6426, 29883, + 46 genes
5076	38	0.39	0.696	0.89	NA	3899, 6543, 64579, 6833, + 3 genes
29966	180	0.39	0.699	0.893	NA	9120, 9321, 80255, 4253, + 24 genes
9984	135	0.39	0.7	0.893	NA	51124, 60685, 7050, 27098, + 31 genes
57541	60	0.38	0.702	0.894	NA	3770, 79872, 7551, 11062, + 2 genes
168620	72	0.38	0.703	0.895	NA	6734, 3488, 5604, 63910, + 37 genes
1748	93	0.38	0.705	0.896	NA	2705, 9607, 5335, 11143, + 8 genes
7555	196	0.38	0.706	0.896	NA	5894, 1786, 5096, 54946, + 72 genes
118490	140	0.37	0.709	0.898	NA	6189, 4123, 6844, 275, + 56 genes
219409	33	0.37	0.709	0.898	NA	1088, 5459, 10407, 26692, + 6 genes
63925	98	0.37	0.709	0.898	NA	6726, 63935, 90204, 5871, + 20 genes
56033	66	0.37	0.711	0.898	NA	1136, 2707, 25907, 3169, + 13 genes
10660	30	0.37	0.712	0.899	NA	56667, 10739, 10850, 10086, + 7 genes
65243	123	0.37	0.715	0.901	NA	1788, 7678, 80143, 23507, + 16 genes
677	150	0.36	0.716	0.901	NA	333, 3694, 1945, 8526, + 20 genes
79862	27	0.36	0.716	0.901	NA	8462, 90233, 1834, 7678, + 2 genes
90637	30	0.36	0.721	0.902	NA	390616, 27102, 5879, 114049, + 3 genes
79977	96	0.35	0.723	0.902	NA	80223, 9976, 9796, 9242, + 27 genes
146542	431	0.35	0.729	0.903	NA	29967, 28955, 55454, 6817, + 78 genes
56980	35	0.35	0.729	0.903	NA	8273, 3956, 5585, 79171, + 3 genes
147657	33	0.35	0.73	0.904	NA	9678, 4054
22823	103	0.34	0.732	0.904	NA	10285, 10272, 7552, 4641, + 12 genes
10902	154	0.34	0.733	0.904	NA	9337, 51780, 78991, 11232, + 44 genes
10009	70	0.34	0.734	0.904	NA	54165, 29071, 23019, 9774, + 5 genes
23598	70	0.34	0.734	0.904	NA	23601, 23034, 8508, 26031, + 15 genes
340252	56	0.34	0.735	0.904	NA	648, 54502, 26994, 253782, + 9 genes
6927	90	0.34	0.737	0.904	NA	8683, 9416, 350, 6256, + 6 genes
4149	145	0.33	0.738	0.904	NA	10581, 444, 8476, 5720, + 21 genes
9480	95	0.33	0.74	0.906	NA	10021, 57835, 11255, 64849, + 23 genes
9575	318	0.33	0.741	0.906	NA	6141, 27335, 9392, 8139, + 74 genes
3091	126	0.33	0.742	0.907	NA	26469, 51077, 9536, 5923, + 13 genes
5326	70	0.31	0.753	0.916	NA	2120, 54811, 80213, 4947, + 8 genes
27125	394	0.31	0.756	0.916	NA	10018, 2072, 2549, 6169, + 81 genes
55081	96	0.31	0.757	0.916	NA	728882, 79876, 79663, 10985, + 20 genes
57862	157	0.31	0.757	0.916	NA	2040, 671, 7375, 8766, + 35 genes
51193	263	0.31	0.758	0.917	NA	9493, 10051, 332, 55165, + 85 genes
9014	71	0.31	0.759	0.917	NA	80705, 26054, 84272, 29966, + 3 genes
1387	57	0.3	0.761	0.917	NA	29081, 51023, 4700, 5493, + 8 genes
3223	36	0.3	0.761	0.917	NA	4337, 7786, 4776, 79962, + 10 genes
9569	85	0.3	0.764	0.919	NA	10298, 3835, 1102, 10024, + 50 genes
8028	123	0.3	0.766	0.919	NA	79723, 27243, 60487, 58190, + 11 genes
2966	27	0.3	0.767	0.919	NA	9759, 8968, 51412, 1129, + 7 genes
6929	255	0.29	0.768	0.92	NA	5331, 5274, 599, 57060, + 64 genes
9877	83	0.29	0.769	0.92	NA	2539, 8548, 54806, 9114, + 5 genes
4010	162	0.29	0.77	0.921	NA	8767, 8019, 399665, 23225, + 32 genes
6871	92	0.29	0.775	0.921	NA	8028, 54752, 9122, 27230, + 19 genes
1054	258	0.28	0.777	0.921	NA	57038, 6812, 51564, 79723, + 30 genes
9765	246	0.28	0.777	0.921	NA	55198, 9337, 66008, 665, + 29 genes
163033	51	0.28	0.778	0.921	NA	9274, 79042, 54958, 1121, + 8 genes
25819	46	0.28	0.778	0.921	NA	9168, 79874, 2204, 7543, + 2 genes
6940	90	0.28	0.779	0.921	NA	91120, 23595, 10285, 162, + 11 genes
8242	135	0.28	0.783	0.923	NA	10075, 9218, 5256, 55787, + 11 genes
9278	65	0.27	0.785	0.924	NA	5534, 64925, 8564, 27113, + 34 genes
6129	208	0.27	0.79	0.927	NA	5859, 50628, 79109, 3706, + 56 genes
89887	84	0.27	0.79	0.927	NA	29110, 10188, 6621, 11007, + 21 genes
6887	25	0.26	0.798	0.93	NA	56302, 5423, 54544, 1834, + 5 genes
23264	145	0.25	0.8	0.93	NA	4771, 960, 57185, 2889, + 58 genes
23613	54	0.25	0.8	0.93	NA	23133, 4661, 200734, 29966, + 5 genes
2969	49	0.25	0.8	0.93	NA	95681, 55206, 6801, 2117, + 5 genes
55279	61	0.25	0.8	0.93	NA	1455, 8545, 80142, 29086, + 8 genes
29883	87	0.25	0.801	0.93	NA	79648, 7993, 5634, 7486, + 15 genes
7746	77	0.25	0.801	0.93	NA	58155, 55208, 109, 7556, + 5 genes
11166	68	0.25	0.802	0.931	NA	131, 64922, 1645, 51297, + 29 genes
6942	132	0.25	0.804	0.931	NA	902, 145389, 23294, 63877, + 23 genes
7753	105	0.25	0.806	0.931	NA	9095, 5818, 730092, 22897, + 27 genes
55818	57	0.24	0.807	0.931	NA	4084, 55206, 4043, 2217, + 5 genes
6256	168	0.24	0.807	0.931	NA	8019, 5287, 29081, 9521, + 20 genes
6621	146	0.24	0.809	0.932	NA	10723, 10188, 7536, 83444, + 39 genes
57336	53	0.24	0.81	0.932	NA	3783, 80108, 79659, 55275, + 11 genes
6907	37	0.24	0.811	0.932	NA	93, 95681, 51019, 10075, + 3 genes
9139	78	0.24	0.811	0.932	NA	10747, 304, 9962, 3956, + 11 genes
7574	100	0.23	0.815	0.933	NA	10066, 4440, 9904, 4779, + 11 genes
90874	50	0.23	0.815	0.933	NA	2191, 8638, 6925, 10254, + 22 genes
81566	34	0.23	0.816	0.933	NA	10193, 9980, 91, 4904, + 5 genes
4774	188	0.23	0.817	0.933	NA	57602, 63901, 2872, 1280, + 39 genes
403341	26	0.22	0.823	0.936	NA	23299, 79109, 7270, 26953, + 2 genes
283248	83	0.22	0.824	0.936	NA	83461, 64499, 1124, 2050, + 19 genes
55139	95	0.22	0.826	0.938	NA	57018, 7692, 3104, 11129, + 42 genes
65249	157	0.22	0.827	0.938	NA	22818, 1452, 79717, 3712, + 22 genes
9406	89	0.22	0.828	0.939	NA	54879, 80143, 55225, 4641, + 16 genes
54989	72	0.21	0.83	0.94	NA	54893, 581, 3658, 79643, + 7 genes
26009	44	0.21	0.832	0.941	NA	1491, 23137, 8636, 90411, 3315
339344	78	0.21	0.835	0.941	NA	6183, 4294, 221037, 9040, + 34 genes
54856	63	0.21	0.835	0.941	NA	23418, 54865, 2971, 80213, + 9 genes
57623	36	0.21	0.835	0.941	NA	64853, 84271, 4796, 3712, + 3 genes
3664	49	0.21	0.836	0.941	NA	152, 29121, 6385, 3918, + 31 genes
5591	173	0.2	0.838	0.941	NA	2618, 63967, 10075, 7274, + 16 genes
65056	101	0.2	0.844	0.943	NA	79654, 7336, 125893, 54436, + 19 genes
405	37	0.19	0.849	0.946	NA	8350, 55204, 57468, 10401, 6016
79177	64	0.19	0.851	0.946	NA	1954, 6257, 10452, 28962, + 12 genes
11279	81	0.19	0.852	0.946	NA	5876, 7739, 6902, 5158, + 7 genes
5989	89	0.18	0.854	0.946	NA	23211, 2872, 4054, 25879, + 17 genes
79101	207	0.18	0.854	0.946	NA	4736, 6392, 23324, 2975, + 21 genes
80829	77	0.18	0.854	0.946	NA	55206, 126299, 10114, 6801, + 8 genes
8456	33	0.18	0.854	0.946	NA	10202, 6490, 10656, 4602, + 16 genes
7181	71	0.18	0.855	0.946	NA	183, 7342, 8337, 4048, + 5 genes
168850	107	0.18	0.859	0.948	NA	10260, 4189, 23640, 4850, + 17 genes
4801	157	0.18	0.861	0.949	NA	79740, 399818, 2896, 55201, + 27 genes
2299	66	0.17	0.864	0.95	NA	10633, 8424, 1180, 8165, + 23 genes
54897	155	0.17	0.864	0.95	NA	79813, 10981, 29097, 10549, + 69 genes
80764	149	0.17	0.864	0.95	NA	8216, 3842, 1454, 29766, + 37 genes
10463	195	0.17	0.865	0.95	NA	528, 9159, 23625, 9897, + 28 genes
155054	33	0.16	0.869	0.951	NA	727, 10866, 4284, 11119, + 3 genes
6721	105	0.16	0.87	0.951	NA	5366, 63877, 27076, 8508, + 19 genes
84108	107	0.16	0.874	0.954	NA	23324, 2805, 1889, 10066, + 12 genes
4086	33	0.16	0.876	0.955	NA	1909, 11316, 83452, 27253, + 12 genes
11179	130	0.15	0.88	0.955	NA	8369, 23381, 55328, 85865, + 15 genes
2001	70	0.15	0.88	0.955	NA	2346, 53335, 2528, 55512, + 36 genes
6772	127	0.15	0.882	0.955	NA	3627, 2358, 6819, 643641, + 29 genes
468	116	0.15	0.883	0.955	NA	23464, 51386, 6598, 79924, + 24 genes
55929	125	0.15	0.883	0.955	NA	51035, 4795, 259230, 7389, + 26 genes
24144	128	0.14	0.885	0.955	NA	5625, 5297, 3005, 9145, + 59 genes
23091	51	0.14	0.887	0.956	NA	64062, 5049, 7750, 64328, + 14 genes
4783	109	0.14	0.887	0.956	NA	63941, 301, 6648, 79780, + 21 genes
10716	35	0.14	0.888	0.956	NA	10412, 9496, 55225, 26018, + 8 genes
145258	95	0.13	0.893	0.957	NA	10054, 23221, 6873, 79874, + 17 genes
23140	100	0.13	0.893	0.957	NA	50628, 10594, 51187, 8925, + 17 genes
5253	115	0.13	0.895	0.959	NA	6921, 8019, 28998, 9521, + 12 genes
2005	108	0.13	0.898	0.959	NA	22848, 126299, 10114, 29988, + 14 genes
7567	64	0.13	0.898	0.959	NA	22863, 83481, 2891, 8343, + 17 genes
166968	124	0.13	0.899	0.959	NA	324, 54813, 24140, 8622, + 32 genes
57459	74	0.13	0.9	0.959	NA	3664, 645, 29109, 55891, + 5 genes
84765	37	0.13	0.9	0.959	NA	25850, 22865, 2979, 55379, + 7 genes
430	68	0.12	0.901	0.959	NA	9022, 25966, 5699, 27330, + 9 genes
4791	157	0.12	0.903	0.959	NA	60370, 157697, 4794, 752, + 38 genes
54680	37	0.12	0.903	0.959	NA	55225, 1486, 152559, 92335, + 2 genes
57621	73	0.12	0.906	0.96	NA	23595, 8717, 7957, 4641, + 13 genes
51123	282	0.12	0.907	0.961	NA	5820, 10247, 10209, 7158, + 26 genes
54531	78	0.12	0.908	0.961	NA	11007, 5064, 83444, 682, + 21 genes
6773	26	0.11	0.912	0.963	NA	2631, 51108, 3615, 7011
79882	120	0.11	0.915	0.965	NA	4331, 957, 8846, 5283, + 16 genes
7975	103	0.1	0.923	0.97	NA	1613, 10045, 26173, 84033, + 27 genes
140467	162	0.09	0.925	0.97	NA	8175, 6181, 54521, 9230, + 37 genes
4821	59	0.09	0.928	0.972	NA	6334, 2765, 9209, 3196, + 11 genes
4784	98	0.09	0.929	0.972	NA	5409, 2296, 10948, 5816, + 11 genes
27332	134	0.08	0.933	0.974	NA	79792, 79156, 79598, 54891, + 27 genes
285971	119	0.08	0.936	0.975	NA	80305, 22930, 3508, 79706, + 68 genes
90592	51	0.08	0.937	0.976	NA	26140, 441263, 22902, 7730, + 25 genes
2551	53	0.07	0.942	0.979	NA	51150, 254359, 1859, 80142, + 6 genes
190	63	0.06	0.95	0.984	NA	7536, 23648, 6425, 114818, + 15 genes
57591	188	0.06	0.951	0.984	NA	3339, 10043, 3142, 56061, + 64 genes
162966	30	0.06	0.952	0.984	NA	2000, 11085, 7067, 64421, + 26 genes
7589	65	0.06	0.953	0.984	NA	2913, 23660, 10898, 4698, + 16 genes
3226	40	0.05	0.957	0.984	NA	22808, 1183, 114876, 6263, + 2 genes
9541	72	0.05	0.957	0.984	NA	90634, 51124, 83481, 59348, + 16 genes
55769	82	0.05	0.958	0.984	NA	26152, 64577, 613, 80173, + 30 genes
9819	46	0.04	0.966	0.989	NA	2321, 10114, 6801, 7414, + 10 genes
9889	111	0.03	0.976	0.994	NA	6541, 79879, 6942, 79777, + 30 genes
8820	123	0.03	0.978	0.994	NA	200315, 9381, 2796, 51652, + 19 genes
9880	63	0.03	0.978	0.994	NA	4616, 5326, 79915, 58472, + 22 genes
3224	45	0.02	0.984	0.994	NA	9681, 7077, 633, 2170, + 26 genes
84330	122	0.02	0.985	0.994	NA	54531, 6234, 7150, 51548, + 14 genes
4853	79	0.02	0.986	0.994	NA	6792, 4701, 10063, 22848, + 15 genes
118813	241	0.02	0.987	0.994	NA	7180, 4907, 10457, 2131, + 32 genes
3399	137	0.01	0.991	0.997	NA	3384, 4162, 3204, 64395, + 50 genes
153572	49	0.01	0.994	0.998	NA	79901, 83941, 5430, 4804, + 20 genes
115196	59	0.01	0.995	0.998	NA	10096, 10109, 9479, 30001, + 6 genes
340481	46	0.01	0.995	0.998	NA	5605, 10114, 60343, 6494, + 7 genes
80345	97	0.01	0.995	0.998	NA	138151, 79567, 26056, 7551, + 6 genes
6670	63	0.01	0.996	0.998	NA	905, 8491, 79634, 23527, + 28 genes
85364	67	0	0.998	0.999	NA	5660, 6014, 2280, 64446, + 8 genes
7421	49	0	0.999	0.999	NA	144699, 355, 1809, 3371, + 28 genes
7556	44	0	0.997	0.998	NA	29896, 10748, 25850, 440515, + 10 genes
339500	87	-0.01	0.995	0.998	NA	60343, 8933, 55762, 80142, + 10 genes
286075	55	-0.01	0.994	0.998	NA	66036, 55246, 55742, 11212, + 28 genes
4610	78	-0.02	0.987	0.994	NA	1945, 25966, 57468, 57213, + 6 genes
170960	90	-0.02	0.985	0.994	NA	7761, 9454, 2798, 64359, + 16 genes
83439	185	-0.02	0.985	0.994	NA	9368, 2120, 55001, 79656, + 32 genes
4204	161	-0.02	0.983	0.994	NA	5329, 8767, 10440, 28998, + 20 genes
64864	78	-0.02	0.983	0.994	NA	79598, 8733, 10260, 23640, + 14 genes
3299	147	-0.02	0.982	0.994	NA	6553, 4123, 9013, 8824, + 71 genes
5309	47	-0.02	0.982	0.994	NA	1307, 9902, 4323, 4634, + 31 genes
6774	95	-0.02	0.982	0.994	NA	8444, 3077, 5203, 7100, + 36 genes
