	Regulon	Size	NES	p.value	FDR	Ledge
7030	7030	85	0.48	0.633	0.998	2771, 5777, 9123, 51187, + 16 genes
7024	7024	62	0.48	0.634	0.998	3162, 9416, 4891, 377, + 12 genes
7026	7026	75	0.47	0.635	0.998	29078, 2036, 7180, 5047, + 15 genes
147912	147912	94	0.47	0.636	0.998	55884, 11235, 9043, 1945, + 34 genes
2120	2120	125	0.47	0.637	0.998	11254, 2305, 81619, 23141, + 26 genes
1051	1051	161	0.47	0.639	0.998	5494, 6398, 7022, 9123, + 35 genes
677	677	150	0.47	0.639	0.998	56898, 9516, 1945, 64927, + 47 genes
282890	282890	53	0.47	0.64	0.998	58528, 1519, 51388, 4953, + 6 genes
140685	140685	183	0.47	0.641	0.998	23129, 402055, 64976, 7555, + 58 genes
390874	390874	35	0.46	0.642	0.998	54860, 529, 10352, 190
57496	57496	234	0.46	0.642	0.998	2013, 1844, 9738, 29078, + 56 genes
90333	90333	33	0.46	0.642	0.998	23764, 23443, 4905, 29110, + 10 genes
124961	124961	40	0.46	0.643	0.998	7326, 5306, 51031, 23242, + 10 genes
5078	5078	26	0.46	0.643	0.998	1539, 1611, 55289, 51619, + 3 genes
1747	1747	132	0.46	0.647	0.998	2743, 79782, 1846, 7022, + 37 genes
139324	139324	58	0.46	0.649	0.998	10384, 11119, 10475, 85363, + 8 genes
10472	10472	163	0.45	0.653	0.998	9, 5867, 2064, 29922, + 50 genes
100129842	100129842	26	0.45	0.654	0.998	78999, 4609, 24147
53349	53349	228	0.45	0.654	0.998	6921, 23560, 3475, 80344, + 65 genes
6778	6778	208	0.45	0.656	0.998	6921, 7336, 3298, 55003, + 47 genes
1869	1869	339	0.44	0.658	0.998	23589, 3833, 332, 10024, + 83 genes
3428	3428	165	0.44	0.663	0.998	22905, 26191, 7490, 10402, + 32 genes
340385	340385	76	0.43	0.665	0.998	5597, 3655, 55790, 3556, + 19 genes
1487	1487	48	0.43	0.667	0.998	25970, 10101, 7189, 51329, + 4 genes
6650	6650	49	0.43	0.668	0.998	55501, 402055, 54923, 9138, + 8 genes
79750	79750	58	0.43	0.668	0.998	56898, 6387, 3426, 4837, + 6 genes
7718	7718	75	0.43	0.67	0.998	3833, 10403, 1616, 824, + 18 genes
1874	1874	161	0.42	0.672	0.998	27125, 5699, 29117, 1535, + 34 genes
3065	3065	94	0.42	0.672	0.998	10277, 27303, 60313, 10979, + 19 genes
6909	6909	86	0.42	0.674	0.998	11235, 4487, 25909, 6642, + 21 genes
7799	7799	84	0.42	0.675	0.998	6921, 10248, 55794, 9521, + 15 genes
64843	64843	50	0.42	0.676	0.998	64376, 23231, 55758, 9427, + 11 genes
84733	84733	255	0.42	0.677	0.998	5635, 57152, 64376, 55006, + 39 genes
8242	8242	135	0.42	0.678	0.998	10209, 2946, 55027, 3054, + 33 genes
153527	153527	140	0.41	0.679	0.998	3475, 6391, 57018, 9337, + 26 genes
2305	2305	487	0.41	0.679	0.998	3833, 332, 983, 3832, + 164 genes
6662	6662	74	0.41	0.679	0.998	11254, 5867, 5338, 351, + 9 genes
23028	23028	199	0.41	0.68	0.998	10277, 3357, 6502, 9918, + 64 genes
5076	5076	38	0.41	0.68	0.998	10950, 3623, 55890, 9501, + 4 genes
643641	643641	180	0.41	0.681	0.998	10001, 55860, 10190, 373156, + 32 genes
84765	84765	37	0.41	0.681	0.998	3949, 51096, 6296, 55769, + 6 genes
6943	6943	40	0.41	0.684	0.998	3075, 3490, 683, 8839, + 8 genes
9757	9757	245	0.41	0.685	0.998	55860, 55837, 64772, 10908, + 49 genes
100130086	100130086	133	0.4	0.687	0.998	23560, 2203, 54662, 51678, + 29 genes
10389	10389	167	0.4	0.687	0.998	3833, 8323, 10403, 259266, + 43 genes
57336	57336	53	0.4	0.688	0.998	79665, 78991, 468, 29922, + 11 genes
63925	63925	98	0.4	0.689	0.998	55716, 64772, 11054, 51187, + 19 genes
3215	3215	44	0.4	0.69	0.998	10054, 8743, 7070, 6678, + 9 genes
7975	7975	103	0.4	0.691	0.998	10078, 55703, 5501, 9546, + 11 genes
22887	22887	31	0.4	0.692	0.998	9202, 8880, 60313, 9682, + 3 genes
3068	3068	176	0.39	0.695	0.998	332, 10403, 2305, 23596, + 63 genes
203523	203523	38	0.39	0.696	0.998	1933, 51042, 10469, 11313, + 5 genes
668	668	25	0.39	0.696	0.998	10913, 80781, 7227, 7781, + 4 genes
118472	118472	99	0.39	0.697	0.998	79803, 7390, 5694, 146057, + 24 genes
26048	26048	223	0.39	0.697	0.998	79724, 1054, 55884, 51466, + 52 genes
23140	23140	100	0.39	0.7	0.998	7326, 7341, 5306, 2079, + 28 genes
342900	342900	35	0.38	0.701	0.998	400961, 3347, 759, 8287
2122	2122	36	0.38	0.702	0.998	57493, 2004, 23554, 1004, + 12 genes
3205	3205	43	0.38	0.703	0.998	6387, 3426, 3075, 11346, + 7 genes
4152	4152	65	0.38	0.703	0.998	9984, 55748, 824, 908, + 5 genes
284346	284346	50	0.38	0.705	0.998	126299, 6996, 64236, 10848, + 2 genes
84217	84217	89	0.38	0.705	0.998	9, 93129, 10644, 29922, + 12 genes
7494	7494	406	0.38	0.706	0.998	1396, 2203, 3475, 23676, + 103 genes
84225	84225	159	0.38	0.706	0.998	490, 23560, 65986, 7318, + 33 genes
7580	7580	51	0.37	0.708	0.998	5092, 57819, 1945, 8799, + 7 genes
55893	55893	162	0.37	0.71	0.998	9, 6921, 9070, 55756, + 39 genes
257	257	120	0.37	0.711	0.998	54700, 9679, 80219, 6256, + 22 genes
1997	1997	105	0.37	0.713	0.998	283537, 143, 9445, 56342, + 18 genes
5934	5934	76	0.37	0.713	0.998	54878, 5257, 11051, 79068, + 15 genes
2306	2306	82	0.36	0.718	0.998	9456, 100133941, 79022, 83988, + 11 genes
7703	7703	76	0.36	0.719	0.998	7126, 80755, 4067, 56910, + 8 genes
2002	2002	109	0.36	0.72	0.998	9203, 2305, 146909, 6608, + 29 genes
146540	146540	151	0.36	0.721	0.998	27242, 58528, 9532, 23597, + 31 genes
169270	169270	84	0.36	0.721	0.998	9, 5329, 11160, 23039, + 10 genes
22921	22921	62	0.35	0.723	0.998	5092, 7390, 7979, 4717, + 25 genes
2101	2101	119	0.35	0.727	0.998	5331, 11344, 5211, 1535, + 28 genes
4825	4825	32	0.35	0.727	0.998	6678, 5768, 80781, 7058, + 5 genes
55778	55778	178	0.35	0.727	0.998	8086, 23357, 60682, 51466, + 53 genes
5252	5252	236	0.35	0.729	0.998	5933, 6996, 8445, 1965, + 67 genes
10664	10664	67	0.35	0.73	0.998	5257, 55027, 11051, 57610, + 18 genes
147658	147658	25	0.35	0.73	0.998	8125, 9374, 56906, 11153, + 2 genes
3206	3206	45	0.35	0.73	0.998	3217, 4837, 29968, 4060, + 11 genes
140831	140831	71	0.34	0.731	0.998	7538, 573, 8303, 55741, + 15 genes
51222	51222	120	0.34	0.733	0.998	256949, 25909, 3911, 55854, + 32 genes
5308	5308	47	0.34	0.733	0.998	6678, 4060, 4313, 9358, + 10 genes
8216	8216	85	0.34	0.733	0.998	64772, 79414, 10694, 4294, + 21 genes
10589	10589	210	0.34	0.734	0.998	402, 9274, 83463, 221037, + 50 genes
11176	11176	134	0.33	0.738	0.998	7111, 9677, 63035, 3054, + 23 genes
155060	155060	195	0.33	0.738	0.998	10190, 64772, 402055, 4034, + 23 genes
347853	347853	124	0.33	0.739	0.998	100129482, 5366, 51702, 2944, + 22 genes
4603	4603	82	0.33	0.741	0.998	29887, 64863, 8323, 146909, + 11 genes
162968	162968	98	0.33	0.742	0.998	29982, 6641, 2064, 23030, + 25 genes
55954	55954	98	0.33	0.744	0.998	80764, 51550, 6388, 65992, + 13 genes
6597	6597	203	0.32	0.747	0.998	10024, 55006, 146909, 10908, + 26 genes
124245	124245	240	0.32	0.749	0.998	5494, 5447, 28964, 54469, + 56 genes
29066	29066	54	0.32	0.749	0.998	9738, 54878, 23042, 9439, + 13 genes
405	405	37	0.32	0.749	0.998	10401, 607, 55204, 23248, + 10 genes
3104	3104	221	0.32	0.75	0.998	10190, 23038, 55884, 57223, + 65 genes
1999	1999	69	0.32	0.751	0.998	490, 5867, 57111, 54020, + 20 genes
5309	5309	47	0.32	0.751	0.998	64236, 80019, 6320, 4237, + 6 genes
80345	80345	97	0.32	0.751	0.998	26056, 9563, 51002, 7718, + 23 genes
130617	130617	140	0.31	0.754	0.998	8411, 11344, 7543, 64077, + 31 genes
4323	4323	174	0.31	0.757	0.998	54902, 10381, 321, 2335, + 34 genes
57659	57659	257	0.3	0.762	0.998	10001, 29078, 55003, 23038, + 62 genes
284695	284695	58	0.3	0.763	0.998	1763, 8317, 6464, 5983, + 4 genes
11279	11279	81	0.3	0.764	0.998	10209, 5876, 7739, 80273, + 15 genes
7593	7593	279	0.3	0.764	0.998	29982, 60682, 51466, 51222, + 87 genes
25921	25921	118	0.3	0.765	0.998	79829, 4221, 55858, 55291, + 41 genes
3221	3221	38	0.3	0.766	0.998	57644, 54805, 51380, 4478, + 3 genes
29841	29841	162	0.3	0.767	0.998	11254, 11009, 1945, 7022, + 26 genes
80764	80764	149	0.3	0.767	0.998	7003, 4357, 1312, 3842, + 29 genes
1482	1482	34	0.29	0.768	0.998	8440, 9517, 9723, 23428, 2178
54531	54531	78	0.29	0.768	0.998	56926, 10975, 22904, 83444, + 11 genes
58525	58525	90	0.29	0.768	0.998	10908, 23309, 57130, 93436, + 26 genes
100271849	100271849	79	0.29	0.769	0.998	55501, 10116, 488, 54923, + 11 genes
3607	3607	254	0.29	0.769	0.998	3833, 5635, 332, 4824, + 45 genes
30827	30827	128	0.29	0.77	0.998	9984, 8411, 25970, 177, + 39 genes
3110	3110	109	0.29	0.77	0.998	79933, 1945, 27163, 3217, + 27 genes
57473	57473	118	0.29	0.77	0.998	10190, 64772, 3911, 9679, + 19 genes
84083	84083	28	0.29	0.77	0.998	1386, 2218, 23165, 1615, + 6 genes
9337	9337	50	0.29	0.77	0.998	27430, 51780, 23367, 23107, + 4 genes
54581	54581	154	0.28	0.777	0.998	10363, 55884, 5912, 4947, + 22 genes
7752	7752	64	0.28	0.777	0.998	55233, 51108, 1017, 8303, + 9 genes
84662	84662	84	0.28	0.777	0.998	23221, 55357, 7070, 6678, + 19 genes
9611	9611	55	0.28	0.777	0.998	7326, 1107, 374354, 51780, + 13 genes
9923	9923	140	0.28	0.778	0.998	10440, 1793, 1952, 23038, + 27 genes
54469	54469	107	0.28	0.78	0.998	6342, 4947, 54956, 6642, + 20 genes
158800	158800	100	0.28	0.781	0.998	1965, 80020, 25970, 177, + 33 genes
79177	79177	64	0.27	0.785	0.998	126299, 8189, 55101, 593, + 12 genes
83855	83855	147	0.27	0.788	0.998	11344, 5211, 7841, 29915, + 43 genes
440695	440695	29	0.27	0.789	0.998	7341, 2568, 50488, 4851, + 4 genes
3146	3146	248	0.27	0.791	0.998	983, 6709, 26586, 57819, + 66 genes
6934	6934	98	0.26	0.793	0.998	6608, 9255, 23328, 7739, + 27 genes
10902	10902	154	0.26	0.794	0.998	29982, 23597, 5912, 78991, + 27 genes
283933	283933	161	0.26	0.794	0.998	10440, 10001, 6921, 1054, + 33 genes
57504	57504	65	0.26	0.796	0.998	9903, 10401, 3091, 27332, + 9 genes
10302	10302	117	0.26	0.797	0.998	23135, 8683, 5955, 4947, + 35 genes
5201	5201	190	0.26	0.798	0.998	6799, 92579, 192286, 23352, + 51 genes
2309	2309	53	0.25	0.799	0.998	9439, 57107, 23328, 51362, + 6 genes
863	863	116	0.25	0.8	0.998	51092, 55715, 5876, 444, + 33 genes
83637	83637	125	0.25	0.802	0.998	10190, 10329, 7127, 9138, + 16 genes
7746	7746	77	0.25	0.803	0.998	55692, 79898, 80742, 7551, + 18 genes
24144	24144	128	0.25	0.804	0.998	23780, 8508, 969, 10915, + 32 genes
22797	22797	242	0.25	0.805	0.998	55233, 1806, 55332, 29887, + 50 genes
374655	374655	134	0.24	0.809	0.998	10209, 2050, 29080, 64976, + 24 genes
29801	29801	218	0.24	0.812	0.998	4357, 10908, 54700, 23309, + 58 genes
3202	3202	25	0.24	0.812	0.998	3204, 3131, 1160
340260	340260	26	0.24	0.812	0.998	10321, 54860, 1755, 8689, + 9 genes
91464	91464	78	0.24	0.813	0.998	10099, 27289, 7135, 60494, + 10 genes
126208	126208	205	0.23	0.819	0.998	10298, 126299, 8411, 9274, + 28 genes
9464	9464	158	0.23	0.82	0.998	6910, 81849, 55816, 6624, + 48 genes
2023	2023	200	0.23	0.821	0.998	30001, 5033, 55076, 26502, + 58 genes
6827	6827	308	0.23	0.821	0.998	5635, 92579, 51283, 79665, + 53 genes
4303	4303	261	0.22	0.822	0.998	7262, 56898, 10190, 23038, + 69 genes
54815	54815	159	0.22	0.822	0.998	6608, 8821, 57130, 440026, + 26 genes
83439	83439	185	0.22	0.822	0.998	9604, 6451, 10290, 4784, + 44 genes
10626	10626	66	0.22	0.823	0.998	5698, 59342, 64112, 5306, + 11 genes
115950	115950	160	0.22	0.823	0.998	23192, 54850, 79016, 4713, + 22 genes
4800	4800	93	0.22	0.825	0.998	55656, 23294, 54708, 1432, + 7 genes
6929	6929	255	0.22	0.827	0.998	5494, 2050, 5331, 7005, + 43 genes
2295	2295	81	0.22	0.828	0.998	1466, 51339, 2297, 25802, + 7 genes
340152	340152	46	0.22	0.828	0.998	9953, 3596, 3587, 51411, + 6 genes
30812	30812	144	0.22	0.829	0.998	23254, 256949, 249, 7122, + 40 genes
3159	3159	191	0.22	0.829	0.998	3833, 4929, 332, 57819, + 39 genes
8548	8548	114	0.22	0.829	0.998	223, 6391, 10401, 4905, + 32 genes
25988	25988	82	0.21	0.831	0.998	10221, 29087, 4221, 89944, + 13 genes
90850	90850	118	0.21	0.832	0.998	55658, 54442, 10469, 51073, + 5 genes
3219	3219	55	0.21	0.836	0.998	4318, 1282, 3218, 57125, + 10 genes
10002	10002	93	0.21	0.837	0.998	51678, 51466, 6821, 79777, + 8 genes
9232	9232	427	0.2	0.842	0.998	23589, 6890, 3833, 332, + 106 genes
8721	8721	350	0.2	0.843	0.998	8086, 126299, 23049, 192286, + 86 genes
10661	10661	44	0.19	0.846	0.998	8568, 8350, 79016, 10212, + 4 genes
5087	5087	64	0.19	0.846	0.998	8061, 5287, 3383, 7277, + 6 genes
3394	3394	146	0.19	0.848	0.998	51316, 9516, 8303, 51296, + 28 genes
4761	4761	65	0.19	0.848	0.998	79017, 9184, 81623, 7062, + 5 genes
54937	54937	49	0.19	0.848	0.998	56269, 23615, 2984, 1287, + 18 genes
84215	84215	50	0.19	0.848	0.998	9580, 2064, 960, 112, + 13 genes
165	165	274	0.19	0.849	0.998	7093, 7168, 2898, 6512, + 70 genes
4772	4772	62	0.19	0.849	0.998	27297, 11062, 908, 9980, + 4 genes
84684	84684	38	0.19	0.849	0.998	3170, 9261, 4256, 4864, + 3 genes
23261	23261	88	0.19	0.85	0.998	140545, 5244, 7357, 10057, + 12 genes
4899	4899	98	0.19	0.85	0.998	2760, 3417, 55621, 81533, + 10 genes
4855	4855	188	0.19	0.852	0.998	10440, 23129, 11235, 10480, + 45 genes
6047	6047	89	0.19	0.852	0.998	55748, 51056, 664, 9416, + 13 genes
6049	6049	61	0.18	0.854	0.998	283537, 143, 5257, 23091, + 13 genes
2077	2077	61	0.18	0.855	0.998	57003, 10865, 5538, 29071, + 7 genes
84450	84450	114	0.18	0.856	0.998	55915, 55006, 55884, 2582, + 17 genes
4791	4791	157	0.18	0.858	0.998	58504, 22904, 8568, 3665, + 31 genes
57215	57215	87	0.18	0.86	0.998	27125, 29117, 1874, 23659, + 28 genes
131540	131540	43	0.18	0.861	0.998	23101, 1113, 1143, 30009, + 4 genes
23435	23435	282	0.17	0.862	0.998	332, 983, 5339, 9585, + 67 genes
10113	10113	156	0.17	0.863	0.998	10927, 6603, 5447, 7841, + 42 genes
26009	26009	44	0.17	0.863	0.998	9202, 8880, 60313, 50999, + 10 genes
64641	64641	75	0.17	0.863	0.998	10480, 9771, 63895, 8891, + 13 genes
54345	54345	44	0.17	0.864	0.998	4648, 10044, 3563, 137886, + 11 genes
55625	55625	111	0.17	0.864	0.998	55332, 8323, 6419, 7084, + 13 genes
7541	7541	29	0.17	0.864	0.998	64863, 9984, 83759, 9097, + 4 genes
7942	7942	168	0.17	0.866	0.998	54700, 6733, 2950, 11344, + 37 genes
91752	91752	37	0.17	0.867	0.998	1996, 3937, 64092, 9705, + 5 genes
5075	5075	44	0.17	0.868	0.998	51151, 131578, 2191, 65983, + 10 genes
3207	3207	50	0.16	0.869	0.998	1300, 2019, 1311, 51352, + 10 genes
91603	91603	131	0.16	0.869	0.998	79943, 6143, 9326, 55876, + 44 genes
6910	6910	56	0.16	0.871	0.998	9464, 222663, 8618, 2115, + 9 genes
27097	27097	132	0.16	0.873	0.998	23380, 9172, 9826, 79933, + 19 genes
4487	4487	73	0.15	0.879	0.998	26019, 10042, 6320, 3490, + 19 genes
602	602	49	0.15	0.879	0.998	2771, 10581, 23555, 397, + 6 genes
3090	3090	361	0.15	0.88	0.998	10196, 11235, 4487, 51222, + 85 genes
9326	9326	171	0.15	0.88	0.998	80755, 29893, 51227, 54475, + 17 genes
57822	57822	53	0.15	0.882	0.998	1827, 7159, 4925, 4117, + 6 genes
6877	6877	214	0.15	0.883	0.998	55656, 9585, 3832, 10403, + 42 genes
3299	3299	147	0.15	0.884	0.998	51380, 54797, 26576, 24142, + 9 genes
284459	284459	121	0.14	0.885	0.998	27242, 23597, 5912, 2166, + 21 genes
54993	54993	90	0.14	0.885	0.998	10363, 5955, 8125, 965, + 19 genes
11262	11262	185	0.14	0.886	0.998	5698, 6890, 8542, 4277, + 26 genes
84944	84944	27	0.14	0.886	0.998	93408, 84779, 50507, 50863, + 12 genes
10745	10745	97	0.14	0.888	0.998	84951, 3757, 30846, 5625, + 17 genes
167465	167465	153	0.14	0.888	0.998	55860, 5287, 7111, 9016, + 31 genes
25806	25806	29	0.14	0.888	0.998	27430, 1955, 55915
5090	5090	30	0.14	0.888	0.998	1142, 6812, 2908, 6744, + 5 genes
7625	7625	183	0.14	0.888	0.998	8508, 4357, 146909, 6608, + 25 genes
11178	11178	125	0.14	0.89	0.998	57125, 56999, 1804, 10046, + 24 genes
7750	7750	41	0.14	0.891	0.998	23091, 27332, 10166, 57472, + 7 genes
84913	84913	203	0.13	0.896	0.998	256949, 2687, 54810, 10576, + 40 genes
100036519	100036519	46	0.13	0.897	0.998	9, 79802, 51388, 66002, + 6 genes
728410	728410	33	0.12	0.901	0.998	54544, 574, 51151, 80125, + 7 genes
7712	7712	39	0.12	0.902	0.998	28965, 79644, 207, 226, + 9 genes
283248	283248	83	0.12	0.903	0.998	2050, 9120, 79829, 4192, + 13 genes
4774	4774	188	0.12	0.903	0.998	6342, 51573, 54682, 23141, + 30 genes
163033	163033	51	0.12	0.905	0.998	400410, 54832, 8615, 11007, + 7 genes
55139	55139	95	0.12	0.908	0.998	10054, 5338, 51147, 998, + 14 genes
4605	4605	416	0.11	0.911	0.998	3833, 332, 10024, 64376, + 103 genes
22823	22823	103	0.11	0.912	0.998	515, 79647, 7443, 6125, + 16 genes
6776	6776	152	0.11	0.914	0.998	3587, 1719, 10313, 4353, + 27 genes
7576	7576	38	0.11	0.914	0.998	2967, 23394, 51427, 55206, + 3 genes
8233	8233	52	0.11	0.914	0.998	9130, 8227, 55192, 8481, + 7 genes
11016	11016	62	0.1	0.917	0.998	6921, 1955, 1032, 200315, + 5 genes
64864	64864	78	0.1	0.917	0.998	54878, 10248, 468, 51069, + 9 genes
84330	84330	122	0.1	0.917	0.998	83444, 23192, 54850, 56889, + 19 genes
6474	6474	53	0.1	0.918	0.998	56978, 8218, 10007, 1293, + 13 genes
11166	11166	68	0.1	0.922	0.998	6279, 3860, 6280, 8581, + 18 genes
23144	23144	86	0.1	0.922	0.998	9070, 83463, 28964, 8000, + 6 genes
148979	148979	90	0.1	0.923	0.998	1307, 5118, 2295, 8840, + 19 genes
7862	7862	164	0.1	0.924	0.998	55860, 10190, 3382, 146909, + 28 genes
286075	286075	55	0.09	0.925	0.998	92154, 115708, 66036, 83482, + 12 genes
55906	55906	53	0.09	0.925	0.998	9203, 6608, 24137, 4482, + 14 genes
8928	8928	60	0.09	0.925	0.998	1877, 79943, 65263, 1979, + 13 genes
200350	200350	49	0.09	0.926	0.998	824, 7703, 8906, 56288, + 7 genes
51545	51545	110	0.09	0.928	0.998	6160, 79803, 5859, 55101, + 10 genes
90649	90649	31	0.09	0.928	0.998	6284, 65094, 6271, 5546, 54344
2313	2313	232	0.09	0.929	0.998	51170, 9770, 1800, 27430, + 36 genes
51295	51295	126	0.09	0.93	0.998	5300, 26240, 56915, 10045, + 27 genes
116412	116412	33	0.09	0.931	0.998	11007, 57418, 51282
860	860	42	0.09	0.931	0.998	4286, 29940, 1290, 7490, + 7 genes
24149	24149	84	0.09	0.932	0.998	23294, 64863, 1432, 5528, + 4 genes
115509	115509	50	0.08	0.934	0.998	5170, 10471, 55709, 83442, + 5 genes
339559	339559	49	0.08	0.935	0.998	9984, 26292, 5091, 4801, + 12 genes
54700	54700	98	0.08	0.935	0.998	9738, 23042, 51283, 51108, + 22 genes
55929	55929	125	0.08	0.937	0.998	10078, 102, 51668, 114034, + 9 genes
81566	81566	34	0.08	0.937	0.998	3964, 55105, 90806, 9980, + 3 genes
9572	9572	25	0.07	0.944	0.998	6143, 5608, 64699, 7008, + 4 genes
51274	51274	60	0.07	0.946	0.998	54878, 51042, 51073, 1386, + 10 genes
85364	85364	67	0.07	0.946	0.998	3621, 26152, 1870, 92595, + 22 genes
376940	376940	126	0.07	0.947	0.998	51491, 54956, 83464, 54762, + 24 genes
90827	90827	34	0.06	0.949	0.998	1538, 5454, 83942, 5225, + 14 genes
4602	4602	92	0.06	0.951	0.998	8502, 27242, 1952, 58528, + 12 genes
645832	645832	32	0.06	0.951	0.998	54867, 5324, 2660, 51106, 51266
84654	84654	25	0.06	0.952	0.998	55753, 3352, 60439, 6005, 4113
7421	7421	49	0.06	0.955	0.998	54554, 144699, 51339, 2259, + 6 genes
339487	339487	192	0.06	0.956	0.998	522, 51013, 79947, 515, + 33 genes
83744	83744	159	0.06	0.956	0.998	10248, 1955, 56342, 23246, + 24 genes
6907	6907	37	0.05	0.957	0.998	7262, 357, 4935, 56474, + 2 genes
83463	83463	209	0.05	0.957	0.998	79159, 54555, 8065, 79050, + 42 genes
27287	27287	191	0.05	0.958	0.998	1185, 11169, 9100, 259173, + 34 genes
326	326	33	0.05	0.961	0.998	919, 22861, 190, 80342, 10401
10194	10194	59	0.05	0.962	0.998	10001, 833, 10190, 1793, + 7 genes
2016	2016	50	0.05	0.963	0.998	2036, 10286, 3267, 771, + 6 genes
8521	8521	72	0.05	0.963	0.998	9, 8743, 10455, 397, + 6 genes
10365	10365	137	0.04	0.965	0.998	23560, 256949, 10174, 6873, + 33 genes
367	367	215	0.04	0.965	0.998	57698, 26511, 29078, 7111, + 35 genes
406	406	25	0.04	0.965	0.998	10669, 65094, 9648, 5439, 6773
79891	79891	110	0.04	0.966	0.998	26986, 9085, 51123, 7691, + 26 genes
63976	63976	57	0.04	0.967	0.998	6567, 4239, 3741, 9379, + 7 genes
344787	344787	46	0.04	0.969	0.998	1121, 57515, 83744, 54855, + 9 genes
118490	118490	140	0.04	0.97	0.998	11224, 3178, 10181, 55692, + 26 genes
79710	79710	197	0.04	0.97	0.998	6472, 115201, 4485, 770, + 54 genes
4656	4656	68	0.04	0.971	0.998	92579, 5819, 10135, 4886, + 4 genes
90874	90874	50	0.04	0.971	0.998	659, 4599, 54796, 8519, + 3 genes
4209	4209	176	0.04	0.972	0.998	55915, 55003, 60682, 5912, + 38 genes
8896	8896	170	0.04	0.972	0.998	51550, 522, 5439, 6633, + 27 genes
100125288	100125288	177	0.03	0.973	0.998	55621, 81533, 9375, 57644, + 16 genes
29028	29028	195	0.03	0.973	0.998	79652, 25879, 9651, 54795, + 48 genes
51042	51042	272	0.03	0.973	0.998	9130, 54344, 11047, 9997, + 48 genes
54753	54753	187	0.03	0.973	0.998	9070, 2026, 9121, 408, + 40 genes
26013	26013	205	0.03	0.974	0.998	55884, 1965, 2036, 9121, + 25 genes
5994	5994	110	0.03	0.974	0.998	2677, 1310, 2551, 203068, + 18 genes
9970	9970	52	0.03	0.974	0.998	6944, 10228, 9992, 2630, + 10 genes
4904	4904	404	0.03	0.975	0.998	4691, 26135, 54812, 1736, + 82 genes
6938	6938	156	0.03	0.979	0.998	1649, 54878, 10248, 10363, + 26 genes
9841	9841	84	0.03	0.98	0.998	10209, 9439, 57107, 9465, + 12 genes
23462	23462	30	0.02	0.981	0.998	182, 6591, 2258
1960	1960	80	0.02	0.982	0.998	5733, 51271, 7167, 57596, + 17 genes
23316	23316	67	0.02	0.982	0.998	7818, 5199, 2841, 8804, + 17 genes
6664	6664	128	0.02	0.982	0.998	10200, 148753, 54681, 23492, + 28 genes
121340	121340	39	0.02	0.985	0.998	2845, 10521, 229, 3623, + 7 genes
26574	26574	122	0.02	0.986	0.998	80755, 29893, 56672, 54475, + 13 genes
23217	23217	72	0.01	0.989	0.998	730092, 55509, 9379, 92211, + 11 genes
7067	7067	187	0.01	0.99	0.998	5409, 890, 3149, 25940, + 35 genes
51450	51450	177	0.01	0.991	0.998	1291, 112464, 9464, 25987, + 38 genes
196	196	94	0.01	0.992	0.998	9180, 6197, 9723, 25804, + 13 genes
57116	57116	246	0.01	0.992	0.998	25879, 29097, 7371, 1678, + 54 genes
26508	26508	75	0.01	0.993	0.998	8534, 81285, 1282, 4978, + 15 genes
7753	7753	105	0.01	0.994	0.998	8726, 595, 9159, 56158, + 28 genes
9205	9205	46	0.01	0.994	0.998	4043, 64328, 54857, 1998, + 4 genes
3171	3171	83	0.01	0.996	0.998	8495, 90993, 55313, 7363, + 20 genes
3200	3200	72	0.01	0.996	0.998	6854, 1136, 50649, 55323, + 21 genes
80818	80818	49	0	0.997	0.998	23038, 23463, 65979, 8289, + 2 genes
5933	5933	278	0	1	1	5639, 10274, 9126, 5116, + 56 genes
85437	85437	210	0	1	1	2137, 9541, 5716, 5191, + 49 genes
353274	353274	52	0	0.997	0.998	9203, 23225, 1605, 22906, + 5 genes
79894	79894	52	-0.01	0.996	0.998	5546, 5202, 9804, 8270, + 6 genes
51538	51538	125	-0.01	0.993	0.998	79947, 515, 29914, 80135, + 20 genes
55063	55063	94	-0.01	0.99	0.998	54943, 10693, 6777, 140545, + 12 genes
57167	57167	61	-0.01	0.99	0.998	23380, 10484, 6678, 6779, + 6 genes
255877	255877	93	-0.02	0.987	0.998	1282, 3218, 57125, 83483, + 15 genes
204219	204219	85	-0.02	0.986	0.998	3852, 1308, 9673, 9629, + 19 genes
7021	7021	85	-0.02	0.986	0.998	4982, 108, 7143, 83394, + 20 genes
79844	79844	32	-0.02	0.986	0.998	5224, 51206, 314, 54866, + 5 genes
6095	6095	61	-0.02	0.984	0.998	6835, 9618, 26519, 23673, + 17 genes
11143	11143	148	-0.02	0.983	0.998	30851, 54828, 55379, 54799, + 42 genes
6297	6297	151	-0.02	0.983	0.998	55259, 79178, 55743, 11014, + 36 genes
22926	22926	66	-0.03	0.979	0.998	84516, 6391, 4905, 103, + 4 genes
55509	55509	185	-0.03	0.979	0.998	7293, 8653, 9938, 9047, + 28 genes
4773	4773	112	-0.03	0.978	0.998	25939, 8818, 10069, 122704, + 13 genes
219409	219409	33	-0.03	0.975	0.998	4632, 55282, 50488, 58530, 81621
2302	2302	54	-0.04	0.971	0.998	10233, 51364, 9856, 27285, + 16 genes
79413	79413	106	-0.04	0.968	0.998	6890, 2743, 717, 6373, + 14 genes
